Nest.ID,Male,Female,Pair,Year,Date.Found,Last.Date.Alive,First.Date.Dead,Notes,First.date.simp,Include_YN,Day.Found,Last.Day.Alive,First.Day.Dead,Fate,Full.Term,Hatched,Hatched.Own,Fledged,Long,Lat,Supplement,Nest.Attempt,Age.Male,Age.Female,Age.Min,Age.Max,Age.Avg,Exper.Male,Exper.Female,Exper.Min,Exper.Max,Exper.Avg,CumAtt.Male,CumAtt.Female,CumAtt.Min,CumAtt.Max,CumAtt.Avg,MGenAny,MGenAll,FGenAny,FGenAll,CGenAny ,CGenAll,Male.Type,Female.Type,Pair.Type,Male.Dam,Male.Sire,Female.Dam,Female.Sire
2005A,1629,1661,1-01/2-02,2005,4/16/2005,4/16/2005,4/17/2005,,16-Apr,N,NA,NA,NA,1,N,N,N,N,-90.16634,44.07789,0,1,4,3,3,4,3.5,0,0,0,0,0,1,1,1,1,1,2,3,3,3,2,3,U,U,1,1119,1114,1135,1133
2005B,1672,1678,11-02/17-02,2005,4/17/2005,4/17/2005,4/18/2005,,17-Apr,N,NA,NA,NA,1,N,N,N,N,-90.15447,44.06246,0,1,3,3,3,3,3,0,0,0,0,0,1,1,1,1,1,2,3,2,3,2,3,U,U,1,1142,1147,1136,1144
2006E,1674,1679,13-02/18-02,2006,4/6/2006,4/23/2006,4/24/2006,,6-Apr,N,NA,NA,NA,1,N,N,N,N,-90.16942,44.07208,0,1,4,4,4,4,4,0,0,0,1,0,1,1,1,1,1,2,2,3,3,2,3,U,U,1,1154,1127,1101,1128
2006A,1629,1661,1-01/2-02,2006,4/7/2006,4/15/2006,4/16/2006,,7-Apr,N,NA,NA,NA,1,N,N,N,N,-90.16743,44.0769,0,1,5,4,4,5,4.5,1,1,1,1,1,2,2,2,2,2,2,3,3,3,2,3,U,U,1,1119,1114,1135,1133
2006B,1712,1662,17-03/3-02,2006,4/7/2006,4/15/2006,4/16/2006,,7-Apr,N,NA,NA,NA,1,N,N,N,N,-90.18893,44.18665,0,1,3,4,3,4,3.5,0,0,0,1,0,1,1,1,1,1,2,3,2,3,2,3,U,U,1,1136,1144,1119,1114
2006D,1672,1678,11-02/17-02,2006,4/11/2006,4/19/2006,4/20/2006,,11-Apr,N,NA,NA,NA,1,N,N,N,N,-90.15197,44.06237,0,1,4,4,4,4,4,1,1,1,1,1,2,2,2,2,2,2,3,2,3,2,3,U,U,1,1142,1147,1136,1144
2006C,1697,1670,2-03/9-02,2006,4/14/2006,4/25/2006,4/27/2006,,14-Apr,N,NA,NA,NA,1,N,N,N,N,-90.36876,44.07807,0,1,3,4,3,4,3.5,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,U,U,1,1135,1133,1135,1133
2007B,1672,1678,11-02/17-02,2007,4/3/2007,4/20/2007,4/21/2007,,3-Apr,N,NA,NA,NA,1,N,N,N,N,-90.15447,44.06246,0,1,5,5,5,5,5,1,1,1,1,1,4,4,4,4,4,2,3,2,3,2,3,U,U,1,1142,1147,1136,1144
2007A,1759,1670,16-04/9-02,2007,4/15/2007,4/19/2007,4/21/2007,,15-Apr,N,NA,NA,NA,1,N,N,N,N,-90.3575,44.0875,0,1,3,5,3,5,4,0,1,0,1,0.5,1,2,1,2,1.5,2,3,3,3,2,3,U,U,1,1136,1144,1135,1133
2007C,1674,1679,13-02/18-02,2007,4/16/2007,4/19/2007,4/20/2007,,16-Apr,N,NA,NA,NA,1,N,N,N,N,-90.16659,44.06865,0,1,5,5,5,5,5,1,1,1,1,1,2,2,2,2,2,2,2,3,3,2,3,U,U,1,1154,1127,1101,1128
2007D,1712,1698,17-03/3-03,2007,4/19/2007,4/20/2007,4/21/2007,,19-Apr,N,NA,NA,NA,1,N,N,N,N,-90.19893,44.17763,0,1,4,4,4,4,4,1,0,0,1,0.5,2,1,1,2,1.5,2,3,2,3,2,3,U,U,1,1136,1144,1136,1144
2008B,1672,1678,11-02/17-02,2008,4/7/2008,5/5/2008,5/6/2008,,7-Apr,N,NA,NA,NA,1,N,N,N,N,-90.15333,44.05915,0,1,6,6,6,6,6,1,1,1,1,1,5,5,5,5,5,2,3,2,3,2,3,U,U,1,1142,1147,1136,1144
2008D,1674,1679,13-02/18-02,2008,4/9/2008,5/5/008,5/6/2008,,9-Apr,N,NA,NA,NA,1,N,N,N,N,-90.1605,44.06692,0,1,6,6,6,6,6,1,1,1,1,1,3,3,3,3,3,2,2,3,3,2,3,U,U,1,1154,1127,1101,1128
2008F,1746,1704,3-04/9-03,2008,4/9/2008,5/3/2008,5/4/2008,,9-Apr,N,NA,NA,NA,1,N,N,N,N,-90.16197,44.06122,0,1,4,5,4,5,4.5,0,0,0,1,0,1,1,1,1,1,3,3,2,3,2,3,U,U,1,1135,1133,1136,1144
2008E,1712,1698,17-03/3-03,2008,4/10/2008,5/5/2008,5/6/2008,,10-Apr,N,NA,NA,NA,1,N,N,N,N,-90.20647,44.18203,0,1,5,5,5,5,5,1,1,1,1,1,4,3,3,4,3.5,2,3,2,3,2,3,U,U,1,1136,1144,1136,1144
2008A,1759,1670,16-04/9-02,2008,4/11/2008,4/11/2008,4/14/2008,,11-Apr,N,NA,NA,NA,1,N,N,N,N,-90.36773,44.0788,0,1,4,6,4,6,5,1,1,1,1,1,2,3,2,3,2.5,2,3,3,3,2,3,U,U,1,1136,1144,1135,1133
2008H,1713,1708,18-03/13-03,2008,4/14/2008,5/6/2008,5/7/2008,,14-Apr,N,NA,NA,NA,1,N,N,N,N,-90.19363,44.08845,0,1,5,5,5,5,5,0,0,0,0,0,1,1,1,1,1,2,3,3,3,2,3,U,U,1,1142,1147,1135,1133
2008K,1786,1758,5-05/15-04,2008,4/14/2008,4/29/2008,4/30/2008,,14-Apr,N,NA,NA,NA,1,N,N,N,N,-90.21085,44.18543,0,1,3,4,3,4,3.5,0,0,0,0,0,1,1,1,1,1,3,3,2,3,2,3,U,U,1,1135,1133,1136,1144
2008I,1744,1790,1-04/8-05,2008,4/16/2008,4/30/2008,5/5/2008,,16-Apr,N,NA,NA,NA,1,N,N,N,N,-90.17635,44.18053,0,1,4,3,3,4,3.5,0,0,0,0,0,1,1,1,1,1,3,3,2,2,2,3,U,U,1,1135,1133,1154,1127
2008G,1706,1707,11-03/12-03,2008,4/17/2008,5/3/2008,5/5/2008,,17-Apr,N,NA,NA,NA,1,N,N,N,N,-90.16185,44.16317,0,1,5,5,5,5,5,0,0,0,0,0,1,1,1,1,1,2,2,3,3,2,3,U,U,1,1154,1127,1135,1133
2008C,1673,1762,12-02/19-04,2008,4/23/2008,5/5/2008,5/6/2008,,23-Apr,N,NA,NA,NA,1,N,N,N,N,-90.08198,44.39248,0,1,6,4,4,6,5,0,0,0,1,0,1,1,1,1,1,2,3,3,4,2,4,U,U,1,1119,1114,1263,1100
2008J,1751,1802,8-04/19-05,2008,4/23/2008,5/2/2008,5/5/2008,,23-Apr,N,NA,NA,NA,1,N,N,N,N,-90.22002,44.15252,0,1,4,3,3,4,3.5,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,U,U,1,1135,1133,1135,1560
2009A,1786,1758,5-05/15-04,2009,4/2/2009,4/24/2009,4/25/2009,,2-Apr,Y,1,23,24,1,N,N,N,N,-90.21938,44.20183,1,1,4,5,4,5,4.5,1,1,1,1,1,2,2,2,2,2,3,3,2,3,2,3,U,U,1,1135,1133,1136,1144
2009B,1713,1708,18-03/13-03,2009,4/7/2009,4/18/2009,4/19/2009,,7-Apr,Y,6,17,18,1,N,N,N,N,-90.19414,44.08972,1,1,6,6,6,6,6,1,1,1,1,1,2,2,2,2,2,2,3,3,3,2,3,U,U,1,1142,1147,1135,1133
2009P,1672,1678,11-02/17-02,2009,4/7/2009,4/26/2009,4/27/2009,,7-Apr,Y,6,25,26,1,N,N,N,N,-90.13585,44.05697,0,1,7,7,7,7,7,1,1,1,1,1,7,7,7,7,7,2,3,2,3,2,3,U,U,1,1142,1147,1136,1144
2009C,1712,1698,17-03/3-03,2009,4/8/2009,4/23/2009,4/24/2009,,8-Apr,Y,7,22,23,1,N,N,N,N,-90.21802,44.16575,1,1,6,6,6,6,6,1,1,1,1,1,5,4,4,5,4.5,2,3,2,3,2,3,U,U,1,1136,1144,1136,1144
2009N,1746,1704,3-04/9-03,2009,4/8/2009,5/3/2009,5/4/2009,,8-Apr,Y,7,32,33,1,N,N,N,N,-90.1673,44.06301,1,1,5,6,5,6,5.5,1,1,1,1,1,2,2,2,2,2,3,3,2,3,2,3,U,U,1,1135,1133,1136,1144
2009D,1744,1790,1-04/8-05,2009,4/9/2009,4/23/2009,4/24/2009,,9-Apr,Y,8,22,23,1,N,N,N,N,-90.16907,44.17396,0,1,5,4,4,5,4.5,1,1,1,1,1,2,2,2,2,2,3,3,2,2,2,3,U,U,1,1135,1133,1154,1127
2009E,1673,1762,12-02/19-04,2009,4/9/2009,4/24/2009,4/25/2009,,9-Apr,Y,8,23,24,1,N,N,N,N,-90.0223,44.41725,0,1,7,5,5,7,6,1,1,1,1,1,2,2,2,2,2,2,3,3,4,2,4,U,U,1,1119,1114,1263,1100
2009F,1751,1802,8-04/19-05,2009,4/9/2009,4/19/2009,4/20/2009,,9-Apr,Y,8,18,19,1,N,N,N,N,-90.22001,44.1533,0,1,5,4,4,5,4.5,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,U,U,1,1135,1133,1135,1560
2009O,1674,1679,13-02/18-02,2009,4/17/2009,4/23/2009,4/24/2009,,17-Apr,Y,16,22,23,1,N,N,N,N,-90.16584,44.06581,1,1,7,7,7,7,7,1,1,1,1,1,4,4,4,4,4,2,2,3,3,2,3,U,U,1,1154,1127,1101,1128
2009H,1706,1707,11-03/12-03,2009,4/21/2009,4/22/2009,4/25/2009,,21-Apr,Y,20,21,24,1,N,N,N,N,-90.1584,44.16145,0,1,6,6,6,6,6,1,1,1,1,1,2,2,2,2,2,2,2,3,3,2,3,U,U,1,1154,1127,1135,1133
2009I,1633,1782,5-01/1-05,2009,4/22/2009,4/23/2009,4/24/2009,,22-Apr,Y,21,22,23,1,N,N,N,N,-90.16096,44.15881,0,1,8,4,4,8,6,0,0,0,1,0,1,1,1,1,1,2,3,2,2,2,3,U,U,1,1142,1147,1167,1162
2009G,1705,1874,10-03/W1-06,2009,4/22/2009,4/22/2009,4/24/2009,,22-Apr,Y,21,21,23,1,N,N,N,N,-90.17352,44.07759,1,1,6,3,3,6,4.5,0,0,0,1,0,1,1,1,1,1,3,4,3,4,3,4,U,W,2,1188,1175,1678,1672
2010A,1786,1758,5-05/15-04,2010,4/1/2010,4/5/2010,4/6/2010,Throw Out; camera put up next to nest,1-Apr,N,1,5,6,1,N,N,N,N,-90.21218,44.19055,0,1,5,6,5,6,5.5,1,1,1,1,1,3,3,3,3,3,3,3,2,3,2,3,U,U,1,1135,1133,1136,1144
2010C,1712,1698,17-03/3-03,2010,4/2/2010,4/11/2010,4/12/2010,,2-Apr,Y,2,11,12,1,N,N,N,N,-90.1972,44.18608,0,1,7,7,7,7,7,1,1,1,1,1,7,6,6,7,6.5,2,3,2,3,2,3,U,U,1,1136,1144,1136,1144
2010J,1705,1874,10-03/W1-06,2010,4/3/2010,4/8/2010,4/9/2010,Throw Out; camera put up next to nest,3-Apr,N,3,8,9,1,N,N,N,N,-90.15246,44.08654,0,1,7,4,4,7,5.5,1,1,1,1,1,2,2,2,2,2,3,4,3,4,3,4,U,W,2,1188,1175,1678,1672
2010F,1744,1790,1-04/8-05,2010,4/4/2010,4/4/2010,4/7/2010,,4-Apr,Y,4,4,7,1,N,N,N,N,-90.17611,44.18054,0,1,6,5,5,6,5.5,1,1,1,1,1,3,3,3,3,3,3,3,2,2,2,3,U,U,1,1135,1133,1154,1127
2010I,1751,1802,8-04/19-05,2010,4/4/2010,4/5/2010,4/9/2010,,4-Apr,Y,4,5,9,1,N,N,N,N,-90.22001,44.1533,0,1,6,5,5,6,5.5,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,U,U,1,1135,1133,1135,1560
2010B,1713,1708,18-03/13-03,2010,4/5/2010,4/5/2010,4/12/2010,,5-Apr,Y,5,5,12,1,N,N,N,N,-90.19358,44.08607,0,1,7,7,7,7,7,1,1,1,1,1,4,4,4,4,4,2,3,3,3,2,3,U,U,1,1142,1147,1135,1133
2010G,1673,1762,12-02/19-04,2010,4/5/2010,4/14/2010,4/15/2010,,5-Apr,Y,5,14,15,1,N,N,N,N,-90.02194,44.41756,0,1,8,6,6,8,7,1,1,1,1,1,4,4,4,4,4,2,3,3,4,2,4,U,U,1,1119,1114,1263,1100
2010L,1746,1704,3-04/9-03,2010,4/5/2010,4/9/2010,4/11/2010,,5-Apr,Y,5,9,11,1,N,N,N,N,-90.16422,44.06337,0,1,6,7,6,7,6.5,1,1,1,1,1,4,4,4,4,4,3,3,2,3,2,3,U,U,1,1135,1133,1136,1144
2010N,1674,1679,13-02/18-02,2010,4/5/2010,4/5/2010,4/12/2010,,5-Apr,Y,5,5,12,1,N,N,N,N,-90.16213,44.06577,0,1,8,8,8,8,8,1,1,1,1,1,5,5,5,5,5,2,2,3,3,2,3,U,U,1,1154,1127,1101,1128
2010P,1745,1927,2-04/46-07,2010,4/30/2010,5/30/2010,5/31/2010,This is a nest that incubated past term; gave 30 intervals,30-Apr,Y,30,60,61,1,Y,N,N,N,-90.15021,44.05249,0,1,6,3,3,6,4.5,0,0,0,1,0,1,1,1,1,1,2,2,3,3,2,3,U,D,2,1154,1127,1263,1128
2010K,1706,1707,11-03/12-03,2010,5/12/2010,6/11/2010,6/11/2010,,12-May,Y,42,72,72,0,Y,Y,Y,N,-90.15834,44.16147,0,1,7,7,7,7,7,1,1,1,1,1,3,3,3,3,3,2,2,3,3,2,3,U,U,1,1154,1127,1135,1133
2010Q,1755,1811,12-04/27-05,2010,5/15/2010,6/11/2010,6/11/2010,,15-May,Y,45,72,72,0,Y,Y,Y,N,-90.19371,44.00425,0,1,6,5,5,6,5.5,0,0,0,0,0,1,1,1,1,1,2,2,3,3,2,3,U,D,2,1154,1127,1263,1128
2011A,1677,1894,16-02/16-07,2011,4/9/2011,4/24/2011,4/25/2011,,9-Apr,Y,1,16,17,1,N,N,N,N,-90.1527,44.1734,0,1,9,4,4,9,6.5,0,0,0,0,0,1,1,1,1,1,2,3,2,2,2,3,U,U,1,1142,1147,1168,1420
2011B,1746,1704,3-04/9-03,2011,4/9/2011,4/30/2011,5/1/2011,"Throw Out; nest failure human-caused, did not follow protocol",9-Apr,N,1,22,23,1,N,N,N,N,-90.1668,44.0634,0,1,7,8,7,8,7.5,1,1,1,1,1,6,6,6,6,6,3,3,2,3,2,3,U,U,1,1135,1133,1136,1144
2011D,1786,1758,5-05/15-04,2011,4/10/2011,4/29/2011,4/30/2011,,10-Apr,Y,2,21,22,1,N,N,N,N,-90.2117,44.1912,0,1,6,7,6,7,6.5,1,1,1,1,1,4,4,4,4,4,3,3,2,3,2,3,U,U,1,1135,1133,1136,1144
2011E,1702,1904,7-03/26-07,2011,4/10/2011,5/4/2011,5/5/2011,,10-Apr,Y,2,26,27,1,N,N,N,N,-90.16729,44.07703,0,1,8,4,4,8,6,0,0,0,1,0,1,1,1,1,1,3,3,2,2,2,3,U,U,1,1135,1133,1119,1147
2011F,1744,1790,1-04/8-05,2011,4/11/2011,5/7/2011,5/8/2011,,11-Apr,Y,3,29,30,1,N,N,N,N,-90.1693,44.1771,0,1,7,6,6,7,6.5,1,1,1,1,1,4,4,4,4,4,3,3,2,2,2,3,U,U,1,1135,1133,1154,1127
2011G,1712,1698,17-03/3-03,2011,4/13/2011,5/9/2011,5/9/2011,,13-Apr,Y,5,31,31,0,Y,Y,Y,N,-90.199,44.1756,0,1,8,8,8,8,8,1,1,1,1,1,10,9,9,10,9.5,2,3,2,3,2,3,U,U,1,1136,1144,1136,1144
2011M,1673,1762,12-02/19-04,2011,4/13/2011,5/13/2011,5/14/2011,This is a nest that incubated past term; gave 30 intervals,13-Apr,Y,5,35,36,1,Y,N,N,N,-90.02834,44.42133,0,1,9,7,7,9,8,1,1,1,1,1,6,6,6,6,6,2,3,3,4,2,4,U,U,1,1119,1114,1263,1100
2011C,1705,1874,10-03/W1-06,2011,4/13/2011,5/8/2011,5/8/2011,,13-Apr,Y,5,30,30,0,Y,Y,Y,N,-90.15921,44.09029,0,1,8,5,5,8,6.5,1,1,1,1,1,3,3,3,3,3,3,4,3,4,3,4,U,W,2,1188,1175,1678,1672
2011H,1791,1708,9-05/13-03,2011,4/14/2011,5/9/2011,5/9/2011,,14-Apr,Y,6,31,31,0,Y,Y,Y,N,-90.18531,44.09475,0,1,6,8,6,8,7,0,1,0,1,0.5,1,5,1,5,3,2,2,3,3,2,3,U,U,1,1167,1162,1135,1133
2011J,1674,1679,13-02/18-02,2011,4/15/2011,4/29/2011,4/30/2011,,15-Apr,Y,7,21,22,1,N,N,N,N,-90.16464,44.06607,0,1,9,9,9,9,9,1,1,1,1,1,7,7,7,7,7,2,2,3,3,2,3,U,U,1,1154,1127,1101,1128
2011K,1881,1963,3-07/38-08,2011,4/16/2011,5/4/2011,5/5/2011,,16-Apr,Y,8,26,27,1,N,N,N,N,-90.17118,44.19981,0,1,4,3,3,4,3.5,0,0,0,1,0,1,1,1,1,1,3,5,2,2,2,5,U,D,2,1202,1216,1366,1422
2011L,1745,1927,2-04/46-07,2011,4/16/2011,5/15/2011,5/15/2011,,16-Apr,Y,8,37,37,0,Y,Y,Y,N,-90.15104,44.0548,0,1,7,4,4,7,5.5,1,1,1,1,1,2,2,2,2,2,2,2,3,3,2,3,U,D,2,1154,1127,1263,1128
2011I,1706,1707,11-03/12-03,2011,4/18/2011,5/8/2011,5/9/2011,,18-Apr,Y,10,30,31,1,N,N,N,N,-90.1603,44.1619,0,1,8,8,8,8,8,1,1,1,1,1,4,4,4,4,4,2,2,3,3,2,3,U,U,1,1154,1127,1135,1133
2011O,1672,1956,11-02/30-08,2011,4/18/2011,5/12/2011,5/13/2011,,18-Apr,Y,10,34,35,1,N,N,N,N,-90.134,44.0543,0,1,9,3,3,9,6,1,0,0,1,0.5,8,1,1,8,4.5,2,3,2,2,2,3,U,U,1,1142,1147,1261,1386
2011P,1885,1917,7-07/39-07,2011,4/18/2011,5/5/2011,5/6/2011,"Throw Out; nest failure human-caused, did not follow protocol",18-Apr,N,10,27,28,1,N,N,N,N,-90.2407,44.2319,0,1,4,4,4,4,4,0,0,0,1,0,1,1,1,1,1,2,2,3,5,2,5,U,D,2,1164,1165,1202,1216
2011Q,1807,1921,24-05/42-07,2011,4/18/2011,4/28/2011,4/29/2011,,18-Apr,Y,10,20,21,1,N,N,N,N,-89.85646,43.89027,0,1,6,4,4,6,5,0,0,0,0,0,1,1,1,1,1,3,3,3,5,3,5,U,D,2,1135,1560,1156,1254
2011N,1958,1811,31-08/27-05,2011,4/20/2011,4/29/2011,4/30/2011,,20-Apr,Y,12,21,22,1,N,N,N,N,-90.18924,43.99268,0,1,3,6,3,6,4.5,0,1,0,1,0.5,1,2,1,2,1.5,3,3,3,3,3,3,D,D,2,1263,1128,1263,1128
2011R,1794,1900,12-05/22-07,2011,4/21/2011,4/21/2011,4/23/2011,,21-Apr,Y,13,13,15,1,N,N,N,N,-90.16135,44.15839,0,1,6,4,4,6,5,0,0,0,0,0,1,1,1,1,1,3,3,3,5,3,5,U,U,1,1135,1560,1202,1216
2011S,1751,1802,8-04/19-05,2011,4/27/2011,5/8/2011,5/9/2011,,27-Apr,Y,19,30,31,1,N,N,N,N,-90.20125,44.14878,0,1,7,6,6,7,6.5,1,1,1,1,1,4,4,4,4,4,3,3,3,3,3,3,U,U,1,1135,1133,1135,1560
